SCHOLAR Simulation Log
Scene: 017   Date: 2026-04-15 01:36:10
======================================================================

Family: sparse
Result: SUCCESS  (121 steps)
--------------------------------------------------
  step    0 | (0.5874, 2.4093) | start
  step    1 | (0.6267, 2.4021) | goal mode: moving directly toward goal
  step    2 | (0.6661, 2.3949) | goal mode: moving directly toward goal
  step    3 | (0.7054, 2.3877) | goal mode: moving directly toward goal
  step    4 | (0.7448, 2.3804) | goal mode: moving directly toward goal
  step    5 | (0.7841, 2.3732) | goal mode: moving directly toward goal
  step    6 | (0.8234, 2.3660) | goal mode: moving directly toward goal
  step    7 | (0.8628, 2.3588) | goal mode: moving directly toward goal
  step    8 | (0.9021, 2.3516) | goal mode: moving directly toward goal
  step    9 | (0.9415, 2.3444) | goal mode: moving directly toward goal
  step   10 | (0.9808, 2.3372) | goal mode: moving directly toward goal
  step   11 | (1.0202, 2.3300) | goal mode: moving directly toward goal
  step   12 | (1.0595, 2.3228) | goal mode: moving directly toward goal
  step   13 | (1.0989, 2.3156) | goal mode: moving directly toward goal
  step   14 | (1.1382, 2.3084) | goal mode: moving directly toward goal
  step   15 | (1.1776, 2.3012) | goal mode: moving directly toward goal
  step   16 | (1.2169, 2.2940) | goal mode: moving directly toward goal
  step   17 | (1.2562, 2.2868) | goal mode: moving directly toward goal
  step   18 | (1.2562, 2.2868) | sensed obstacle(s) [9]; frontiers=44
  step   19 | (1.2956, 2.2795) | goal mode: moving directly toward goal
  step   20 | (1.3349, 2.2723) | goal mode: moving directly toward goal
  step   21 | (1.3743, 2.2651) | goal mode: moving directly toward goal
  step   22 | (1.4136, 2.2579) | goal mode: moving directly toward goal
  step   23 | (1.4136, 2.2579) | sensed obstacle(s) [7]; frontiers=35
  step   24 | (1.4530, 2.2507) | goal mode: moving directly toward goal
  step   25 | (1.4923, 2.2435) | goal mode: moving directly toward goal
  step   26 | (1.4923, 2.2435) | stopped at epsilon boundary near obstacle 9
  step   27 | (1.5317, 2.2363) | contact mode: pushed obstacle 9 by 0.12; push_history=1
  step   28 | (1.5710, 2.2291) | goal mode: moving directly toward goal
  step   29 | (1.6104, 2.2219) | goal mode: moving directly toward goal
  step   30 | (1.6104, 2.2219) | stopped at epsilon boundary near obstacle 9
  step   31 | (1.6497, 2.2147) | contact mode: pushed obstacle 9 by 0.12; push_history=2
  step   32 | (1.6890, 2.2075) | goal mode: moving directly toward goal
  step   33 | (1.7284, 2.2003) | goal mode: moving directly toward goal
  step   34 | (1.7284, 2.2003) | stopped at epsilon boundary near obstacle 9
  step   35 | (1.7677, 2.1931) | contact mode: pushed obstacle 9 by 0.12; push_history=3
  step   36 | (1.8071, 2.1859) | goal mode: moving directly toward goal
  step   37 | (1.8464, 2.1786) | goal mode: moving directly toward goal
  step   38 | (1.8464, 2.1786) | stopped at epsilon boundary near obstacle 9
  step   39 | (1.8858, 2.1714) | contact mode: pushed obstacle 9 by 0.12; push_history=4
  step   40 | (1.9251, 2.1642) | goal mode: moving directly toward goal
  step   41 | (1.9645, 2.1570) | goal mode: moving directly toward goal
  step   42 | (1.9645, 2.1570) | stopped at epsilon boundary near obstacle 9
  step   43 | (2.0038, 2.1498) | contact mode: pushed obstacle 9 by 0.12; push_history=5
  step   44 | (2.0432, 2.1426) | goal mode: moving directly toward goal
  step   45 | (2.0825, 2.1354) | goal mode: moving directly toward goal
  step   46 | (2.0825, 2.1354) | stopped at epsilon boundary near obstacle 9
  step   47 | (2.1218, 2.1282) | contact mode: pushed obstacle 9 by 0.01; push_history=6
  step   48 | (2.1612, 2.1210) | goal mode: moving directly toward goal
  step   49 | (2.1612, 2.1210) | boundary mode: entered near obs 9 (movable, P_safe=0.50)
  step   50 | (2.1871, 2.1515) | boundary mode: following obs 9 (movable)
  step   51 | (2.2010, 2.1890) | boundary mode: following obs 9 (movable)
  step   52 | (2.2213, 2.2235) | boundary mode: following obs 9 (movable)
  step   53 | (2.2415, 2.2580) | boundary mode: following obs 9 (movable)
  step   54 | (2.2674, 2.2884) | boundary mode: following obs 9 (movable)
  step   55 | (2.2982, 2.3139) | boundary mode: following obs 9 (movable)
  step   56 | (2.3290, 2.3395) | boundary mode: following obs 9 (movable)
  step   57 | (2.3290, 2.3395) | sensed obstacle(s) [4]; frontiers=26
  step   58 | (2.3638, 2.3592) | boundary mode: following obs 9 (movable)
  step   59 | (2.3986, 2.3790) | boundary mode: following obs 9 (movable)
  step   60 | (2.4363, 2.3924) | boundary mode: following obs 9 (movable)
  step   61 | (2.4363, 2.3924) | sensed obstacle(s) [3]; frontiers=25
  step   62 | (2.4757, 2.3991) | boundary mode: following obs 9 (movable)
  step   63 | (2.5151, 2.4058) | boundary mode: following obs 9 (movable)
