SCHOLAR Simulation Log
Scene: 025   Date: 2026-04-15 01:41:24
======================================================================

Family: sparse
Result: SUCCESS  (113 steps)
--------------------------------------------------
  step    0 | (2.3725, 5.1766) | start
  step    1 | (2.3944, 5.1432) | goal mode: moving directly toward goal
  step    2 | (2.4163, 5.1097) | goal mode: moving directly toward goal
  step    3 | (2.4382, 5.0762) | goal mode: moving directly toward goal
  step    4 | (2.4601, 5.0427) | goal mode: moving directly toward goal
  step    5 | (2.4820, 5.0093) | goal mode: moving directly toward goal
  step    6 | (2.5039, 4.9758) | goal mode: moving directly toward goal
  step    7 | (2.5258, 4.9423) | goal mode: moving directly toward goal
  step    8 | (2.5477, 4.9089) | goal mode: moving directly toward goal
  step    9 | (2.5697, 4.8754) | goal mode: moving directly toward goal
  step   10 | (2.5916, 4.8419) | goal mode: moving directly toward goal
  step   11 | (2.6135, 4.8085) | goal mode: moving directly toward goal
  step   12 | (2.6354, 4.7750) | goal mode: moving directly toward goal
  step   13 | (2.6573, 4.7415) | goal mode: moving directly toward goal
  step   14 | (2.6792, 4.7081) | goal mode: moving directly toward goal
  step   15 | (2.7011, 4.6746) | goal mode: moving directly toward goal
  step   16 | (2.7230, 4.6411) | goal mode: moving directly toward goal
  step   17 | (2.7449, 4.6077) | goal mode: moving directly toward goal
  step   18 | (2.7668, 4.5742) | goal mode: moving directly toward goal
  step   19 | (2.7887, 4.5407) | goal mode: moving directly toward goal
  step   20 | (2.8106, 4.5072) | goal mode: moving directly toward goal
  step   21 | (2.8325, 4.4738) | goal mode: moving directly toward goal
  step   22 | (2.8544, 4.4403) | goal mode: moving directly toward goal
  step   23 | (2.8763, 4.4068) | goal mode: moving directly toward goal
  step   24 | (2.8982, 4.3734) | goal mode: moving directly toward goal
  step   25 | (2.9201, 4.3399) | goal mode: moving directly toward goal
  step   26 | (2.9420, 4.3064) | goal mode: moving directly toward goal
  step   27 | (2.9639, 4.2730) | goal mode: moving directly toward goal
  step   28 | (2.9859, 4.2395) | goal mode: moving directly toward goal
  step   29 | (3.0078, 4.2060) | goal mode: moving directly toward goal
  step   30 | (3.0297, 4.1726) | goal mode: moving directly toward goal
  step   31 | (3.0516, 4.1391) | goal mode: moving directly toward goal
  step   32 | (3.0735, 4.1056) | goal mode: moving directly toward goal
  step   33 | (3.0954, 4.0721) | goal mode: moving directly toward goal
  step   34 | (3.1173, 4.0387) | goal mode: moving directly toward goal
  step   35 | (3.1392, 4.0052) | goal mode: moving directly toward goal
  step   36 | (3.1611, 3.9717) | goal mode: moving directly toward goal
  step   37 | (3.1830, 3.9383) | goal mode: moving directly toward goal
  step   38 | (3.2049, 3.9048) | goal mode: moving directly toward goal
  step   39 | (3.2268, 3.8713) | goal mode: moving directly toward goal
  step   40 | (3.2487, 3.8379) | goal mode: moving directly toward goal
  step   41 | (3.2706, 3.8044) | goal mode: moving directly toward goal
  step   42 | (3.2925, 3.7709) | goal mode: moving directly toward goal
  step   43 | (3.3144, 3.7375) | goal mode: moving directly toward goal
  step   44 | (3.3363, 3.7040) | goal mode: moving directly toward goal
  step   45 | (3.3582, 3.6705) | goal mode: moving directly toward goal
  step   46 | (3.3582, 3.6705) | sensed obstacle(s) [7]; frontiers=45
  step   47 | (3.3801, 3.6371) | goal mode: moving directly toward goal
  step   48 | (3.4020, 3.6036) | goal mode: moving directly toward goal
  step   49 | (3.4240, 3.5701) | goal mode: moving directly toward goal
  step   50 | (3.4459, 3.5366) | goal mode: moving directly toward goal
  step   51 | (3.4678, 3.5032) | goal mode: moving directly toward goal
  step   52 | (3.4897, 3.4697) | goal mode: moving directly toward goal
  step   53 | (3.5116, 3.4362) | goal mode: moving directly toward goal
  step   54 | (3.5335, 3.4028) | goal mode: moving directly toward goal
  step   55 | (3.5554, 3.3693) | goal mode: moving directly toward goal
  step   56 | (3.5773, 3.3358) | goal mode: moving directly toward goal
  step   57 | (3.5992, 3.3024) | goal mode: moving directly toward goal
  step   58 | (3.6211, 3.2689) | goal mode: moving directly toward goal
  step   59 | (3.6430, 3.2354) | goal mode: moving directly toward goal
  step   60 | (3.6649, 3.2020) | goal mode: moving directly toward goal
  step   61 | (3.6868, 3.1685) | goal mode: moving directly toward goal
  step   62 | (3.7087, 3.1350) | goal mode: moving directly toward goal
  step   63 | (3.7306, 3.1016) | goal mode: moving directly toward goal
  step   64 | (3.7525, 3.0681) | goal mode: moving directly toward goal
  step   65 | (3.7744, 3.0346) | goal mode: moving directly toward goal
  step   66 | (3.7963, 3.0011) | goal mode: moving directly toward goal
  step   67 | (3.8182, 2.9677) | goal mode: moving directly toward goal
  step   68 | (3.8402, 2.9342) | goal mode: moving directly toward goal
  step   69 | (3.8621, 2.9007) | goal mode: moving directly toward goal
  step   70 | (3.8840, 2.8673) | goal mode: moving directly toward goal
  step   71 | (3.9059, 2.8338) | goal mode: moving directly toward goal
  step   72 | (3.9278, 2.8003) | goal mode: moving directly toward goal
  step   73 | (3.9278, 2.8003) | sensed obstacle(s) [8]; frontiers=45
  step   74 | (3.9497, 2.7669) | goal mode: moving directly toward goal
  step   75 | (3.9716, 2.7334) | goal mode: moving directly toward goal
  step   76 | (3.9935, 2.6999) | goal mode: moving directly toward goal
  step   77 | (4.0154, 2.6665) | goal mode: moving directly toward goal
  step   78 | (4.0154, 2.6665) | sensed obstacle(s) [2]; frontiers=38
  step   79 | (4.0373, 2.6330) | goal mode: moving directly toward goal
  step   80 | (4.0592, 2.5995) | goal mode: moving directly toward goal
  step   81 | (4.0811, 2.5660) | goal mode: moving directly toward goal
  step   82 | (4.1030, 2.5326) | goal mode: moving directly toward goal
  step   83 | (4.1249, 2.4991) | goal mode: moving directly toward goal
  step   84 | (4.1468, 2.4656) | goal mode: moving directly toward goal
  step   85 | (4.1687, 2.4322) | goal mode: moving directly toward goal
  step   86 | (4.1906, 2.3987) | goal mode: moving directly toward goal
  step   87 | (4.2125, 2.3652) | goal mode: moving directly toward goal
  step   88 | (4.2344, 2.3318) | goal mode: moving directly toward goal
  step   89 | (4.2563, 2.2983) | goal mode: moving directly toward goal
  step   90 | (4.2783, 2.2648) | goal mode: moving directly toward goal
  step   91 | (4.3002, 2.2314) | goal mode: moving directly toward goal
  step   92 | (4.3221, 2.1979) | goal mode: moving directly toward goal
  step   93 | (4.3440, 2.1644) | goal mode: moving directly toward goal
  step   94 | (4.3659, 2.1310) | goal mode: moving directly toward goal
  step   95 | (4.3878, 2.0975) | goal mode: moving directly toward goal
  step   96 | (4.4097, 2.0640) | goal mode: moving directly toward goal
  step   97 | (4.4316, 2.0305) | goal mode: moving directly toward goal
  step   98 | (4.4535, 1.9971) | goal mode: moving directly toward goal
  step   99 | (4.4754, 1.9636) | goal mode: moving directly toward goal
  step  100 | (4.4973, 1.9301) | goal mode: moving directly toward goal
  step  101 | (4.5192, 1.8967) | goal mode: moving directly toward goal
  step  102 | (4.5411, 1.8632) | goal mode: moving directly toward goal
  step  103 | (4.5630, 1.8297) | goal mode: moving directly toward goal
  step  104 | (4.5849, 1.7963) | goal mode: moving directly toward goal
  step  105 | (4.6068, 1.7628) | goal mode: moving directly toward goal
  step  106 | (4.6287, 1.7293) | goal mode: moving directly toward goal
  step  107 | (4.6506, 1.6959) | goal mode: moving directly toward goal
  step  108 | (4.6725, 1.6624) | goal mode: moving directly toward goal
  step  109 | (4.6944, 1.6289) | goal mode: moving directly toward goal
  step  110 | (4.7164, 1.5955) | goal mode: moving directly toward goal
  step  111 | (4.7383, 1.5620) | goal mode: moving directly toward goal
  step  112 | (4.7516, 1.5416) | goal reached

Family: cluttered
Result: FAILED  (365 steps)
--------------------------------------------------
  step    0 | (2.3725, 5.1766) | start
  step    1 | (2.3725, 5.1766) | sensed obstacle(s) [32]; frontiers=40
  step    2 | (2.3944, 5.1432) | goal mode: moving directly toward goal
  step    3 | (2.4163, 5.1097) | goal mode: moving directly toward goal
  step    4 | (2.4382, 5.0762) | goal mode: moving directly toward goal
  step    5 | (2.4601, 5.0427) | goal mode: moving directly toward goal
  step    6 | (2.4820, 5.0093) | goal mode: moving directly toward goal
  step    7 | (2.5039, 4.9758) | goal mode: moving directly toward goal
  step    8 | (2.5258, 4.9423) | goal mode: moving directly toward goal
  step    9 | (2.5477, 4.9089) | goal mode: moving directly toward goal
  step   10 | (2.5697, 4.8754) | goal mode: moving directly toward goal
  step   11 | (2.5916, 4.8419) | goal mode: moving directly toward goal
  step   12 | (2.6135, 4.8085) | goal mode: moving directly toward goal
  step   13 | (2.6354, 4.7750) | goal mode: moving directly toward goal
  step   14 | (2.6573, 4.7415) | goal mode: moving directly toward goal
  step   15 | (2.6792, 4.7081) | goal mode: moving directly toward goal
  step   16 | (2.6792, 4.7081) | sensed obstacle(s) [22]; frontiers=43
  step   17 | (2.7011, 4.6746) | goal mode: moving directly toward goal
  step   18 | (2.7230, 4.6411) | goal mode: moving directly toward goal
  step   19 | (2.7449, 4.6077) | goal mode: moving directly toward goal
  step   20 | (2.7668, 4.5742) | goal mode: moving directly toward goal
  step   21 | (2.7887, 4.5407) | goal mode: moving directly toward goal
  step   22 | (2.8106, 4.5072) | goal mode: moving directly toward goal
  step   23 | (2.8106, 4.5072) | stopped at epsilon boundary near obstacle 22
  step   24 | (2.8325, 4.4738) | contact mode: pushed obstacle 22 by 0.12; push_history=1
  step   25 | (2.8544, 4.4403) | goal mode: moving directly toward goal
  step   26 | (2.8763, 4.4068) | goal mode: moving directly toward goal
  step   27 | (2.8763, 4.4068) | stopped at epsilon boundary near obstacle 22
  step   28 | (2.8982, 4.3734) | contact mode: pushed obstacle 22 by 0.12; push_history=2
  step   29 | (2.9201, 4.3399) | goal mode: moving directly toward goal
  step   30 | (2.9420, 4.3064) | goal mode: moving directly toward goal
