planner,family,scene_idx,seed,success,steps,path_length,n_contacts,n_sensed
bug2,sparse,26,26,True,119,7.506986,0,6
bug2,cluttered,26,26,True,120,7.235571,0,10
bug2,collision_required,26,26,True,239,14.613574,0,29
bug2,collision_shortcut,26,26,True,127,8.060732,0,6
bug2,sparse,27,27,True,91,5.351117,0,5
bug2,cluttered,27,27,True,91,5.244781,0,10
bug2,collision_required,27,27,True,210,12.348474,0,30
bug2,collision_shortcut,27,27,True,111,6.420943,0,11
bug2,sparse,28,28,True,53,3.593609,0,0
bug2,cluttered,28,28,True,60,3.599027,0,5
bug2,collision_required,28,28,False,801,9.739364,0,14
bug2,collision_shortcut,28,28,True,78,4.706571,0,7
bug2,sparse,29,29,True,79,5.252649,0,2
bug2,cluttered,29,29,True,87,5.397174,0,6
bug2,collision_required,29,29,True,259,15.952968,0,31
bug2,collision_shortcut,29,29,True,123,7.567437,0,7
bug2,sparse,30,30,True,58,3.945861,0,0
bug2,cluttered,30,30,True,113,6.880962,0,12
bug2,collision_required,30,30,False,801,8.984958,0,14
bug2,collision_shortcut,30,30,True,116,7.390501,0,7
bug2,sparse,31,31,True,93,5.928859,0,3
bug2,cluttered,31,31,True,92,5.74965,0,4
bug2,collision_required,31,31,True,198,12.036379,0,24
bug2,collision_shortcut,31,31,True,80,4.649334,0,7
bug2,sparse,32,32,True,57,3.685994,0,3
bug2,cluttered,32,32,True,88,5.124016,0,10
bug2,collision_required,32,32,True,162,9.646309,0,17
bug2,collision_shortcut,32,32,True,118,7.299648,0,10
bug2,sparse,33,33,True,104,6.679682,0,5
bug2,cluttered,33,33,True,80,4.624548,0,11
bug2,collision_required,33,33,True,284,17.608013,0,31
bug2,collision_shortcut,33,33,True,87,5.163079,0,8
bug2,sparse,34,34,True,72,4.360565,0,5
bug2,cluttered,34,34,True,107,6.683921,0,9
bug2,collision_required,34,34,True,236,14.501332,0,25
bug2,collision_shortcut,34,34,True,87,5.033604,0,12
bug2,sparse,35,35,True,67,4.267037,0,3
bug2,cluttered,35,35,True,106,6.288176,0,11
bug2,collision_required,35,35,True,278,16.992504,0,33
bug2,collision_shortcut,35,35,True,86,4.981933,0,8
bug2,sparse,36,36,True,62,4.220561,0,0
bug2,cluttered,36,36,True,95,5.604883,0,7
bug2,collision_required,36,36,False,801,11.733934,0,18
bug2,collision_shortcut,36,36,True,123,7.653337,0,8
bug2,sparse,37,37,True,77,4.985727,0,3
bug2,cluttered,37,37,True,66,4.012258,0,5
bug2,collision_required,37,37,True,111,6.445861,0,12
bug2,collision_shortcut,37,37,True,84,5.266901,0,5
bug2,sparse,38,38,True,79,5.097792,0,3
bug2,cluttered,38,38,True,83,4.900716,0,7
bug2,collision_required,38,38,True,190,11.303081,0,26
bug2,collision_shortcut,38,38,True,110,6.455714,0,8
bug2,sparse,39,39,True,55,3.575294,0,2
bug2,cluttered,39,39,True,68,4.150414,0,6
bug2,collision_required,39,39,True,288,17.583399,0,28
bug2,collision_shortcut,39,39,True,101,5.867249,0,9
bug2,sparse,40,40,True,56,3.736164,0,1
bug2,cluttered,40,40,True,69,4.295033,0,4
bug2,collision_required,40,40,True,260,15.692796,0,33
bug2,collision_shortcut,40,40,True,84,5.153043,0,5
bug2,sparse,41,41,True,71,4.418046,0,4
bug2,cluttered,41,41,True,68,4.226117,0,4
bug2,collision_required,41,41,True,414,26.18698,0,37
bug2,collision_shortcut,41,41,True,102,6.120883,0,7
bug2,sparse,42,42,True,57,3.636236,0,4
bug2,cluttered,42,42,True,390,25.901165,0,13
bug2,collision_required,42,42,False,801,9.880833,0,11
bug2,collision_shortcut,42,42,True,79,4.765312,0,5
bug2,sparse,43,43,True,92,5.532102,0,8
bug2,cluttered,43,43,True,190,11.695343,0,15
bug2,collision_required,43,43,False,801,7.820507,0,11
bug2,collision_shortcut,43,43,True,117,7.2516,0,8
bug2,sparse,44,44,True,82,5.059517,0,4
bug2,cluttered,44,44,True,115,7.033582,0,12
bug2,collision_required,44,44,True,322,19.640716,0,35
bug2,collision_shortcut,44,44,True,105,6.125042,0,10
bug2,sparse,45,45,True,64,4.277556,0,1
bug2,cluttered,45,45,True,93,5.426661,0,10
bug2,collision_required,45,45,True,231,13.953726,0,28
bug2,collision_shortcut,45,45,True,86,5.345616,0,6
bug2,sparse,46,46,True,81,4.794351,0,5
bug2,cluttered,46,46,True,104,5.748197,0,12
bug2,collision_required,46,46,True,255,15.737069,0,26
bug2,collision_shortcut,46,46,True,88,5.178395,0,9
bug2,sparse,47,47,False,801,6.141078,0,1
bug2,cluttered,47,47,True,98,5.583989,0,9
bug2,collision_required,47,47,False,801,7.589882,0,9
bug2,collision_shortcut,47,47,True,99,5.790002,0,9
bug2,sparse,48,48,True,72,4.749992,0,1
bug2,cluttered,48,48,True,84,5.290195,0,6
bug2,collision_required,48,48,True,241,14.424453,0,29
bug2,collision_shortcut,48,48,True,113,6.910099,0,7
bug2,sparse,49,49,True,65,4.231939,0,3
bug2,cluttered,49,49,True,70,4.300261,0,6
bug2,collision_required,49,49,True,260,15.659299,0,32
bug2,collision_shortcut,49,49,True,75,4.741195,0,4
bug2,sparse,50,50,True,81,5.103849,0,3
bug2,cluttered,50,50,True,96,5.960986,0,5
bug2,collision_required,50,50,True,228,14.289102,0,24
bug2,collision_shortcut,50,50,True,96,5.811609,0,7
bug2,sparse,51,51,True,63,3.962137,0,3
bug2,cluttered,51,51,True,75,4.228159,0,9
bug2,collision_required,51,51,True,270,16.798143,0,30
bug2,collision_shortcut,51,51,True,138,8.440303,0,8
bug2,sparse,52,52,True,68,4.315394,0,3
bug2,cluttered,52,52,True,69,4.304204,0,5
bug2,collision_required,52,52,False,801,6.804322,0,9
bug2,collision_shortcut,52,52,True,79,4.893455,0,4
bug2,sparse,53,53,True,148,9.338445,0,5
bug2,cluttered,53,53,True,166,10.417773,0,11
bug2,collision_required,53,53,True,292,17.780362,0,35
bug2,collision_shortcut,53,53,True,134,8.220347,0,9
bug2,sparse,54,54,True,56,3.729762,0,1
bug2,cluttered,54,54,True,58,3.729762,0,3
bug2,collision_required,54,54,True,191,11.520553,0,25
bug2,collision_shortcut,54,54,True,85,5.116149,0,6
bug2,sparse,55,55,True,67,4.18479,0,2
bug2,cluttered,55,55,True,90,5.057551,0,12
bug2,collision_required,55,55,True,244,14.779792,0,30
bug2,collision_shortcut,55,55,True,83,4.79821,0,5
bug2,sparse,56,56,True,78,4.611123,0,5
bug2,cluttered,56,56,True,73,4.355076,0,6
bug2,collision_required,56,56,False,801,12.105536,0,18
bug2,collision_shortcut,56,56,True,175,11.580529,0,6
bug2,sparse,57,57,True,68,4.418138,0,3
bug2,cluttered,57,57,True,94,5.434027,0,13
bug2,collision_required,57,57,False,801,8.208772,0,10
bug2,collision_shortcut,57,57,True,104,6.207642,0,8
bug2,sparse,58,58,True,56,3.79076,0,0
bug2,cluttered,58,58,True,83,5.009335,0,7
bug2,collision_required,58,58,False,801,7.854768,0,7
bug2,collision_shortcut,58,58,True,89,5.594487,0,4
bug2,sparse,59,59,True,93,5.924566,0,5
bug2,cluttered,59,59,True,106,6.121082,0,10
