planner,family,scene_idx,seed,success,steps,path_length,n_contacts,n_sensed
beacon,cluttered,13,13,True,115,4.291397,0,6
surp,cluttered,13,13,False,506,13.572952,165,7
beacon,collision_required,13,13,True,138,5.268003,0,4
surp,collision_required,13,13,True,179,6.853979,0,6
beacon,collision_shortcut,13,13,True,141,5.268003,0,7
surp,collision_shortcut,13,13,True,286,10.465307,12,9
beacon,sparse,14,14,True,106,4.052336,0,2
surp,sparse,14,14,True,237,8.589993,10,6
beacon,cluttered,14,14,True,109,4.052336,0,5
surp,cluttered,14,14,False,515,19.112,30,14
beacon,collision_required,14,14,True,105,4.052336,0,1
surp,collision_required,14,14,True,114,4.439408,0,2
beacon,collision_shortcut,14,14,True,106,4.052336,0,3
surp,collision_shortcut,14,14,True,128,4.829629,2,3
beacon,sparse,15,15,True,119,4.616447,0,1
surp,sparse,15,15,True,118,4.616447,0,1
beacon,cluttered,15,15,True,127,4.616447,0,9
surp,cluttered,15,15,False,535,15.474238,101,9
beacon,collision_required,15,15,True,121,4.616447,0,3
surp,collision_required,15,15,True,139,5.433187,0,2
beacon,collision_shortcut,15,15,True,123,4.616447,0,5
surp,collision_shortcut,15,15,True,159,5.996184,8,5
beacon,sparse,16,16,True,137,5.313326,0,2
surp,sparse,16,16,True,182,7.13326,0,2
beacon,cluttered,16,16,True,142,5.313326,0,8
surp,cluttered,16,16,True,268,10.081098,18,13
beacon,collision_required,16,16,True,137,5.313326,0,2
surp,collision_required,16,16,True,175,6.860444,0,2
beacon,collision_shortcut,16,16,True,140,5.313326,0,5
surp,collision_shortcut,16,16,True,348,12.658053,39,9
beacon,sparse,17,17,True,99,3.730288,0,3
surp,sparse,17,17,True,116,4.433469,0,4
beacon,cluttered,17,17,True,110,4.17969,0,4
surp,cluttered,17,17,False,514,19.352,72,16
beacon,collision_required,17,17,True,104,4.030598,0,1
surp,collision_required,17,17,True,190,7.058235,12,3
beacon,collision_shortcut,17,17,True,106,4.030598,0,3
surp,collision_shortcut,17,17,True,129,4.984455,4,3
beacon,sparse,18,18,True,92,3.517793,0,2
surp,sparse,18,18,True,100,3.80273,0,3
beacon,cluttered,18,18,True,95,3.517793,0,5
surp,cluttered,18,18,False,511,18.992,36,17
beacon,collision_required,18,18,True,115,4.456074,0,1
surp,collision_required,18,18,True,128,4.978828,0,2
beacon,collision_shortcut,18,18,True,118,4.456074,0,4
surp,collision_shortcut,18,18,True,143,5.169333,22,5
beacon,sparse,19,19,True,115,4.360129,0,3
surp,sparse,19,19,True,118,4.525986,0,3
beacon,cluttered,19,19,True,119,4.360129,0,7
surp,cluttered,19,19,True,294,10.769997,18,11
beacon,collision_required,19,19,True,114,4.360129,0,2
surp,collision_required,19,19,True,116,4.518437,0,2
beacon,collision_shortcut,19,19,True,116,4.360129,0,4
surp,collision_shortcut,19,19,True,129,4.921828,4,4
beacon,sparse,20,20,True,91,3.504055,0,1
surp,sparse,20,20,True,92,3.573683,0,1
beacon,cluttered,20,20,True,95,3.504055,0,5
surp,cluttered,20,20,True,174,6.606609,0,7
beacon,collision_required,20,20,True,112,4.284576,0,2
surp,collision_required,20,20,True,121,4.669263,0,3
beacon,collision_shortcut,20,20,True,112,4.284576,0,2
surp,collision_shortcut,20,20,True,132,5.116541,0,3
beacon,sparse,21,21,True,136,5.275301,0,2
surp,sparse,21,21,True,162,6.27361,0,4
beacon,cluttered,21,21,True,141,5.275301,0,8
surp,cluttered,21,21,False,519,18.828762,73,15
beacon,collision_required,21,21,True,136,5.275301,0,2
surp,collision_required,21,21,True,157,6.097562,4,3
beacon,collision_shortcut,21,21,True,145,5.393631,0,9
surp,collision_shortcut,21,21,False,515,13.365714,142,6
beacon,sparse,22,22,True,164,6.471332,0,0
surp,sparse,22,22,True,163,6.471332,0,0
beacon,cluttered,22,22,True,171,6.471332,0,7
surp,cluttered,22,22,True,448,15.095038,53,14
beacon,collision_required,22,22,True,165,6.471332,0,1
surp,collision_required,22,22,True,198,7.648199,2,2
beacon,collision_shortcut,22,22,True,170,6.471332,0,6
surp,collision_shortcut,22,22,True,498,17.789977,60,14
beacon,sparse,23,23,True,114,4.41488,0,1
surp,sparse,23,23,True,118,4.63793,0,1
beacon,cluttered,23,23,True,120,4.41488,0,7
surp,cluttered,23,23,False,513,18.689333,56,22
beacon,collision_required,23,23,True,116,4.41488,0,3
surp,collision_required,23,23,True,119,4.554168,0,4
beacon,collision_shortcut,23,23,True,116,4.41488,0,3
surp,collision_shortcut,23,23,True,228,8.736241,2,7
beacon,sparse,24,24,True,122,4.73357,0,1
surp,sparse,24,24,True,146,5.569377,8,1
beacon,cluttered,24,24,True,125,4.73357,0,5
surp,cluttered,24,24,True,201,7.513299,4,9
beacon,collision_required,24,24,True,125,4.73357,0,5
surp,collision_required,24,24,True,175,6.400452,6,6
beacon,collision_shortcut,24,24,True,126,4.73357,0,6
surp,collision_shortcut,24,24,True,209,7.480658,18,8
beacon,sparse,25,25,True,114,4.34432,0,3
surp,sparse,25,25,True,127,4.942435,0,2
beacon,cluttered,25,25,True,118,4.34432,0,8
surp,cluttered,25,25,True,275,9.951299,24,15
beacon,collision_required,25,25,True,113,4.34432,0,2
surp,collision_required,25,25,True,132,5.071604,2,3
beacon,collision_shortcut,25,25,True,114,4.34432,0,3
surp,collision_shortcut,25,25,True,292,10.883158,10,10
beacon,sparse,26,26,True,133,5.202,0,0
surp,sparse,26,26,True,132,5.202,0,0
beacon,cluttered,26,26,True,137,5.202,0,4
surp,cluttered,26,26,True,319,12.127802,26,11
beacon,collision_required,26,26,True,134,5.202,0,1
surp,collision_required,26,26,True,158,6.082219,2,2
beacon,collision_shortcut,26,26,True,138,5.202,0,6
surp,collision_shortcut,26,26,True,173,6.621392,0,6
beacon,sparse,27,27,True,131,4.985807,0,4
surp,sparse,27,27,True,189,7.228937,2,6
beacon,cluttered,27,27,True,136,4.985807,0,9
surp,cluttered,27,27,False,524,18.936857,101,15
beacon,collision_required,27,27,True,129,4.985807,0,2
surp,collision_required,27,27,True,322,12.119299,16,7
beacon,collision_shortcut,27,27,True,132,4.985807,0,5
surp,collision_shortcut,27,27,True,189,7.16801,0,8
beacon,sparse,28,28,True,92,3.593609,0,0
surp,sparse,28,28,True,91,3.593609,0,0
beacon,cluttered,28,28,True,96,3.593609,0,4
surp,cluttered,28,28,True,124,4.679701,5,6
beacon,collision_required,28,28,True,106,4.070678,0,2
surp,collision_required,28,28,True,110,4.235036,0,3
beacon,collision_shortcut,28,28,True,110,4.070678,0,6
surp,collision_shortcut,28,28,False,522,18.872,42,18
beacon,sparse,29,29,True,136,5.252649,0,2
surp,sparse,29,29,True,173,6.752121,2,3
beacon,cluttered,29,29,True,143,5.252649,0,9
surp,cluttered,29,29,True,274,10.432944,0,13
beacon,collision_required,29,29,True,136,5.252649,0,2
surp,collision_required,29,29,True,211,8.052614,10,4
beacon,collision_shortcut,29,29,True,140,5.252649,0,6
surp,collision_shortcut,29,29,True,203,7.441557,20,9
beacon,sparse,30,30,True,106,3.945861,0,5
surp,sparse,30,30,True,181,6.636771,12,6
beacon,cluttered,30,30,True,109,3.945861,0,10
surp,cluttered,30,30,True,359,13.136833,14,16
beacon,collision_required,30,30,True,119,4.578592,0,2
surp,collision_required,30,30,True,144,5.442501,9,3
beacon,collision_shortcut,30,30,True,121,4.578592,0,4
surp,collision_shortcut,30,30,True,189,7.301424,4,4
beacon,sparse,31,31,True,92,3.50158,0,2
surp,sparse,31,31,True,113,4.221392,6,3
beacon,cluttered,31,31,True,92,3.50158,0,2
surp,cluttered,31,31,True,113,4.221392,6,3
beacon,collision_required,31,31,True,107,4.047653,0,3
surp,collision_required,31,31,True,152,5.395764,8,5
beacon,collision_shortcut,31,31,True,107,4.047653,0,3
surp,collision_shortcut,31,31,True,176,6.521584,15,3
beacon,sparse,32,32,True,98,3.685994,0,3
surp,sparse,32,32,True,121,4.619414,0,4
beacon,cluttered,32,32,True,100,3.685994,0,6
surp,cluttered,32,32,False,503,11.574,175,8
beacon,collision_required,32,32,True,111,4.28467,0,1
surp,collision_required,32,32,True,118,4.58687,0,2
beacon,collision_shortcut,32,32,True,112,4.28467,0,2
surp,collision_shortcut,32,32,True,187,7.188233,8,3
beacon,sparse,33,33,True,100,3.823535,0,2
surp,sparse,33,33,True,121,4.680889,0,2
beacon,cluttered,33,33,True,103,3.823535,0,5
surp,cluttered,33,33,True,199,6.869423,12,9
beacon,collision_required,33,33,True,106,4.079819,0,2
surp,collision_required,33,33,True,115,4.435165,4,3
beacon,collision_shortcut,33,33,True,117,4.519939,0,3
surp,collision_shortcut,33,33,True,163,6.20296,0,6
beacon,sparse,34,34,True,112,4.27112,0,3
surp,sparse,34,34,True,119,4.635744,0,2
beacon,cluttered,34,34,True,116,4.27112,0,7
surp,cluttered,34,34,False,517,19.158667,22,18
beacon,collision_required,34,34,True,111,4.27112,0,2
surp,collision_required,34,34,True,127,4.951233,0,2
beacon,collision_shortcut,34,34,True,112,4.27112,0,4
surp,collision_shortcut,34,34,True,400,14.62772,62,14
beacon,sparse,35,35,True,98,3.774168,0,1
surp,sparse,35,35,True,106,4.149913,0,1
beacon,cluttered,35,35,True,175,6.713521,0,6
surp,cluttered,35,35,False,507,19.248,19,18
beacon,collision_required,35,35,True,110,4.203622,0,2
surp,collision_required,35,35,True,125,4.81759,0,3
beacon,collision_shortcut,35,35,True,112,4.203622,0,4
surp,collision_shortcut,35,35,True,163,6.29364,2,4
beacon,sparse,36,36,True,110,4.220561,0,2
surp,sparse,36,36,True,123,4.777892,0,2
beacon,cluttered,36,36,False,503,20.0,0,3
surp,cluttered,36,36,False,515,19.232,63,20
beacon,collision_required,36,36,True,110,4.220561,0,2
surp,collision_required,36,36,True,129,4.888552,6,3
beacon,collision_shortcut,36,36,True,111,4.220561,0,3
surp,collision_shortcut,36,36,True,311,10.9023,16,9
beacon,sparse,37,37,True,101,3.840595,0,2
surp,sparse,37,37,True,120,4.660258,0,2
beacon,cluttered,37,37,True,102,3.840595,0,3
surp,cluttered,37,37,True,140,5.244916,8,3
beacon,collision_required,37,37,True,119,4.531557,0,3
surp,collision_required,37,37,True,128,4.887219,0,4
beacon,collision_shortcut,37,37,True,120,4.531557,0,4
surp,collision_shortcut,37,37,True,134,5.090668,0,5
beacon,sparse,38,38,True,99,3.812783,0,1
surp,sparse,38,38,True,113,4.435115,0,1
beacon,cluttered,38,38,True,101,3.812783,0,4
surp,cluttered,38,38,True,169,6.373582,4,6
beacon,collision_required,38,38,True,124,4.820175,0,1
surp,collision_required,38,38,True,139,5.404433,0,2
beacon,collision_shortcut,38,38,True,129,4.820175,0,7
surp,collision_shortcut,38,38,True,192,7.277135,17,4
beacon,sparse,39,39,True,92,3.575294,0,1
surp,sparse,39,39,True,97,3.734831,0,2
beacon,cluttered,39,39,True,96,3.575294,0,5
surp,cluttered,39,39,True,99,3.689052,0,5
beacon,collision_required,39,39,True,130,5.038087,0,2
surp,collision_required,39,39,True,146,5.668848,0,3
beacon,collision_shortcut,39,39,True,133,5.038087,0,6
surp,collision_shortcut,39,39,True,223,8.446722,2,9
beacon,sparse,40,40,True,96,3.736164,0,1
surp,sparse,40,40,True,142,5.357146,7,3
beacon,cluttered,40,40,True,99,3.736164,0,4
surp,cluttered,40,40,True,204,7.404275,17,9
beacon,collision_required,40,40,True,118,4.54558,0,2
surp,collision_required,40,40,True,136,5.227161,2,4
beacon,collision_shortcut,40,40,True,120,4.54558,0,4
surp,collision_shortcut,40,40,True,238,8.366851,23,8
beacon,sparse,41,41,True,96,3.652338,0,2
surp,sparse,41,41,True,99,3.829092,0,2
beacon,cluttered,41,41,True,98,3.652338,0,5
surp,cluttered,41,41,True,192,7.079214,8,8
beacon,collision_required,41,41,True,123,4.680203,0,3
surp,collision_required,41,41,True,149,5.74279,6,3
beacon,collision_shortcut,41,41,True,123,4.680203,0,3
surp,collision_shortcut,41,41,True,154,5.707999,2,6
